Date,Close,High,Low,Open,Volume
2015-01-05,39.40198516845703,39.74216870526906,39.33394651453768,39.436001251155126,39673900
2015-01-06,38.823665618896484,39.75917430483516,38.73011410145037,39.444503673275605,36447900
2015-01-07,39.316951751708984,39.512558089467205,38.687610185749996,39.10433574402447,29114100
2015-01-08,40.473575592041016,40.60964968109724,39.73367293556417,39.759185813430285,29645200
2015-01-09,40.13339614868164,40.66918939251638,39.886764047213525,40.49059272599239,23944200
2015-01-12,39.631622314453125,40.43106057523257,39.42751276499742,40.329002556241925,23651900
2015-01-13,39.427490234375,40.74570807255268,39.17235182122141,39.94627351286851,35270600
2015-01-14,39.08732223510742,39.325454346424465,38.79816436328583,39.08732223510742,29719600
2015-01-15,38.679100036621094,39.44451888892898,38.61956781969298,39.30844478677008,32750800
2015-01-16,39.325443267822266,39.35945935048826,38.41544411594825,38.53451176019477,35695300
2015-01-20,39.45301818847656,39.6741406102206,38.75563807853709,39.37647631083627,36161900
2015-01-21,39.05329513549805,39.240398204855296,38.679092241045396,39.07030480037251,39081100
2015-01-22,40.082366943359375,40.09087015539904,39.1893804431197,39.44451897972211,35898000
2015-01-23,40.12487030029297,40.30346686606538,39.801693244899354,40.27795399788673,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.28078079223633,36.740031962276895,35.813026412792716,36.527416040324205,169164000
2015-01-28,35.030601501464844,36.39134547936543,35.00508862654093,36.348822939738305,84507100
2015-01-29,35.72798538208008,35.821536925895444,34.69042167749857,34.80948609898643,63585300
2015-01-30,34.35873794555664,35.362285463623955,34.31621216122655,35.33676934417353,78004900
2015-02-02,35.10715103149414,35.183692917230466,34.21416452741203,34.520332070357334,50352500
2015-02-03,35.3792839050293,35.65993844585401,34.911529581249226,35.404800018724984,52082400
2015-02-04,35.583404541015625,35.898075229949285,35.17518231757854,35.668449620966825,41614800
2015-02-05,36.102203369140625,36.26379038770421,35.60042939708577,35.90659700637527,36548200
2015-02-06,36.068172454833984,36.3913496325542,35.84705327698048,36.29779808814081,34616600
2015-02-09,36.025638580322266,36.34881565640357,35.898067742740885,35.92358385681386,31381100
2015-02-10,36.22975540161133,36.37433592991583,35.87256217449755,36.34882305491108,29670700
2015-02-11,36.042659759521484,36.27228539399115,35.89807921444257,36.27228539399115,38262500
2015-02-12,36.64647674560547,36.64647674560547,36.15320629912399,36.28077713714814,33268800
2015-02-13,37.309837341308594,37.309837341308594,36.69750575347446,36.893111992780206,40264900
2015-02-17,37.32697296142578,37.686708152737744,36.99292894004376,37.6610137154582,33695700
2015-02-18,37.284149169921875,37.42975862305899,37.16423742460308,37.369802750399586,27111700
2015-02-19,37.258453369140625,37.28414780867083,36.87302043943816,36.98436845631885,27603400
2015-02-20,37.566795349121094,37.58392606260128,37.07858145065915,37.267012764242146,29721100
2015-02-23,37.815189361572266,37.84944752441552,37.386931286208366,37.429756440274794,32518800
2015-02-24,37.76380920410156,37.943676868687994,37.618199713233366,37.8152013657052,25271700
2015-02-25,37.67814636230469,37.763796669196715,37.51540620492015,37.64388493260797,29759800
2015-02-26,37.73811340332031,37.8837196216148,37.59250391767508,37.67815751727544,28957300
2015-02-27,37.55823516845703,37.8580178076901,37.39549826191344,37.79806193331351,33807700
2015-03-02,37.58393478393555,37.849452736117925,37.30128284694754,37.40406388432942,31924000
2015-03-03,37.07001876831055,37.5411052753888,36.90728187236071,37.3098455175549,31748600
2015-03-04,36.881587982177734,37.010063449099164,36.72741480799207,36.83875955918732,25748700
2015-03-05,36.924415588378906,37.03576361431392,36.67602509488931,36.89015415465273,23193500
2015-03-06,36.282020568847656,36.92440760932343,36.10215298167831,36.830190320611074,36248800
